Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,Purchase Year,Purchase Month,Response Delay Hrs,Resolution Hrs
48,2,10,4,0,2,3,3.0,2020,7,13.31638888888889,6.85
27,0,25,0,0,2,3,3.0,2020,11,9.566944444444445,-5.533333333333333
67,0,5,0,0,2,1,1.0,2020,2,2.2841666666666667,19.683333333333334
48,1,30,1,0,1,2,1.0,2021,1,19.852777777777778,-17.916666666666668
51,1,27,2,0,1,0,1.0,2021,10,14.17,-2.6333333333333333
48,0,38,0,0,1,0,4.0,2020,2,8.454444444444444,-7.233333333333333
63,2,40,2,0,0,0,4.0,2021,10,21.855555555555554,-3.8
39,0,9,3,0,2,0,5.0,2021,3,2.8402777777777777,19.716666666666665
30,2,12,4,0,0,2,5.0,2020,6,1.3605555555555555,6.766666666666667
67,1,40,1,0,3,2,1.0,2020,12,2.977222222222222,17.483333333333334
60,1,15,4,0,3,3,3.0,2021,12,8.778333333333334,0.5666666666666667
50,1,5,3,0,0,3,5.0,2021,12,4.095555555555555,16.4
24,2,16,1,0,1,0,1.0,2020,10,10.012777777777778,-7.7
19,1,18,4,0,0,2,3.0,2021,9,20.830833333333334,-20.866666666666667
35,1,10,0,0,0,0,3.0,2021,6,22.49861111111111,-5.7
34,2,19,3,0,0,1,2.0,2021,9,8.05,-2.65
50,0,31,3,0,1,2,1.0,2020,10,5.801111111111111,5.683333333333334
27,0,16,4,0,3,3,1.0,2020,7,9.351666666666667,-1.2833333333333334
64,1,21,3,0,3,0,3.0,2020,11,18.43611111111111,-5.833333333333333
54,1,28,3,0,1,3,3.0,2021,10,3.986111111111111,19.083333333333332
37,1,19,1,0,2,0,4.0,2021,8,2.736388888888889,9.766666666666667
27,1,5,4,0,3,2,5.0,2020,7,14.021666666666667,-7.183333333333334
40,2,3,2,0,3,0,3.0,2021,9,21.921944444444446,-19.2
40,1,37,1,0,3,0,1.0,2020,11,2.3725,11.616666666666667
64,0,40,0,0,1,1,4.0,2020,12,1.6902777777777778,13.066666666666666
49,0,16,0,0,1,1,5.0,2021,8,7.174722222222222,5.183333333333334
46,0,8,3,0,1,0,1.0,2020,2,14.025833333333333,-13.1
34,0,11,0,0,2,0,4.0,2021,2,6.660277777777778,-1.3
36,2,12,1,0,0,3,3.0,2020,11,23.593888888888888,-19.116666666666667
37,2,34,2,0,0,0,1.0,2021,1,16.794722222222223,-12.216666666666667
63,0,12,0,0,2,1,5.0,2020,12,21.345833333333335,-3.9166666666666665
24,1,33,3,0,2,3,1.0,2021,10,7.7475,14.916666666666666
46,1,38,4,0,0,2,2.0,2020,1,20.13222222222222,-11.666666666666666
40,1,39,2,0,3,1,5.0,2020,1,1.3669444444444445,3.8666666666666667
60,1,5,2,0,1,0,5.0,2021,10,2.2194444444444446,18.516666666666666
38,1,35,0,0,1,0,5.0,2020,9,9.170555555555556,7.666666666666667
40,0,4,3,0,0,1,3.0,2021,1,5.205277777777778,12.266666666666667
42,0,30,1,0,2,1,2.0,2021,5,13.706111111111111,9.133333333333333
33,1,11,4,0,0,0,4.0,2020,1,4.99,5.333333333333333
60,0,1,1,0,1,1,2.0,2021,7,5.307222222222222,9.483333333333333
27,2,25,1,0,1,1,1.0,2021,11,5.475,-5.0
28,0,37,1,0,1,1,1.0,2020,9,12.525277777777777,-4.383333333333334
20,0,41,1,0,1,1,5.0,2021,11,21.109444444444446,-0.75
18,1,17,0,0,3,2,5.0,2020,2,2.7430555555555554,4.033333333333333
41,0,12,0,0,2,2,2.0,2021,7,6.443888888888889,10.45
49,1,0,1,0,3,1,3.0,2021,4,0.2816666666666667,2.283333333333333
43,1,4,0,0,3,1,2.0,2020,2,23.599166666666665,-6.466666666666667
